DATETIME,LOAD,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR,hour,is_peak,forecast,forecast_adj,penalty,penalty_adj,deviation
2021-05-08 00:00:00,1601.573184,39.69330353,83.18,0,30.33,3.33,0,0,1602.55,1602.55,1.9536319999997431,1.9536319999997431,0.9768159999998716
2021-05-08 00:15:00,1586.098152,39.45589756,83.39,0,30.24,3.24,0,0,1584.18,1584.18,7.672607999999855,7.672607999999855,1.9181519999999637
2021-05-08 00:30:00,1566.718472,39.20481628,83.34,0,30.17,3.17,0,0,1571.5472975199998,1571.5472975199998,9.657651039999564,9.657651039999564,4.828825519999782
2021-05-08 00:45:00,1542.669452,38.76563287,83.32,0,30.04,3.04,0,0,1544.93302944,1544.93302944,4.527154879999671,4.527154879999671,2.2635774399998354
2021-05-08 01:00:00,1513.825356,38.82581516,83.63,0,30.03,3.03,1,0,1520.59138984,1520.59138984,13.532067679999727,13.532067679999727,6.766033839999864
2021-05-08 01:15:00,1483.341676,38.80860273,84.24,0,29.97,2.97,1,0,1486.82046944,1486.82046944,6.957586880000235,6.957586880000235,3.4787934399998903
2021-05-08 01:30:00,1455.059028,38.85819924,84.63,0,29.95,2.95,1,0,1456.8779331200003,1456.8779331200003,3.6378102400008174,3.6378102400008174,1.8189051200004087
2021-05-08 01:45:00,1425.760604,38.55254054,85.08,0,29.82,2.82,1,0,1428.82042748,1428.82042748,6.119646959999955,6.119646959999955,3.0598234799999773
2021-05-08 02:00:00,1400.401172,38.51715709,85.19,0,29.8,2.8,2,0,1399.3515556800005,1399.3515556800005,4.198465279999255,4.198465279999255,1.0496163199995863
2021-05-08 02:15:00,1373.704152,37.71307107,85.06,0,29.57,2.57,2,0,1375.71678828,1375.71678828,4.0252725599998485,4.0252725599998485,2.0126362799999242
2021-05-08 02:30:00,1350.982776,37.13247702,84.23,0,29.46,2.46,2,0,1350.26612812,1350.26612812,2.866591519999929,2.866591519999929,0.7166478799999823
2021-05-08 02:45:00,1327.860956,36.73169164,83.91,0,29.36,2.36,2,0,1327.0411566400005,1327.0411566400005,3.279197439997916,3.279197439997916,0.8197993599994788
2021-05-08 03:00:00,1307.617788,36.54539731,83.67,0,29.32,2.32,3,0,1306.54613696,1306.54613696,4.286604160000024,4.286604160000024,1.071651040000006
2021-05-08 03:15:00,1286.13338,36.54037102,83.65,0,29.32,2.32,3,0,1288.05769748,1288.05769748,3.8486349599997993,3.8486349599997993,1.9243174799998997
2021-05-08 03:30:00,1271.34922,36.75382432,83.75,0,29.38,2.38,3,0,1265.37,1265.37,23.916880000000678,23.916880000000678,5.9792200000001685
2021-05-08 03:45:00,1253.489084,36.99527834,83.95,0,29.44,2.44,3,0,1251.6101563199995,1251.6101563199995,7.515710720002062,7.515710720002062,1.8789276800005155
2021-05-08 04:00:00,1234.115644,37.02796928,84.32,0,29.42,2.42,4,0,1238.75221264,1238.75221264,9.2731372799999,9.2731372799999,4.63656863999995
2021-05-08 04:15:00,1221.000788,36.60633489,84.92,0,29.24,2.24,4,0,1222.06591736,1222.06591736,2.130258719999801,2.130258719999801,1.0651293599999008
2021-05-08 04:30:00,1212.999604,36.43545072,85.13,0,29.17,2.17,4,0,1205.2700836800002,1205.2700836800002,30.91808127999957,30.91808127999957,7.729520319999892
2021-05-08 04:45:00,1209.828144,35.95446283,85.1,0,29.02,2.02,4,0,1198.17495888,1198.17495888,46.61274047999996,46.61274047999996,11.65318511999999
2021-05-08 05:00:00,1209.893288,35.83169396,85.38,0,28.96,1.96,5,0,1197.13,1197.13,51.0531519999995,51.0531519999995,12.763287999999875
2021-05-08 05:15:00,1211.89138,35.84096949,85.42,0,28.96,1.96,5,0,1197.145834,1197.145834,58.982184000000416,58.982184000000416,14.745546000000104
