DATETIME,forecast,forecast_adj,penalty,penalty_adj
2021-05-08 00:00:00,1602.55,1602.55,1.9536319999997431,1.9536319999997431
2021-05-08 00:15:00,1584.18,1584.18,7.672607999999855,7.672607999999855
2021-05-08 00:30:00,1571.5472975199998,1571.5472975199998,9.657651039999564,9.657651039999564
2021-05-08 00:45:00,1544.93302944,1544.93302944,4.527154879999671,4.527154879999671
2021-05-08 01:00:00,1520.59138984,1520.59138984,13.532067679999727,13.532067679999727
2021-05-08 01:15:00,1486.8204694400001,1486.8204694400001,6.957586880000235,6.957586880000235
2021-05-08 01:30:00,1456.8779331200003,1456.8779331200003,3.6378102400008174,3.6378102400008174
2021-05-08 01:45:00,1428.82042748,1428.82042748,6.119646959999955,6.119646959999955
2021-05-08 02:00:00,1399.3515556800003,1399.3515556800003,4.198465279999255,4.198465279999255
2021-05-08 02:15:00,1375.71678828,1375.71678828,4.0252725599998485,4.0252725599998485
2021-05-08 02:30:00,1350.26612812,1350.26612812,2.866591519999929,2.866591519999929
2021-05-08 02:45:00,1327.0411566400005,1327.0411566400005,3.2791974399979154,3.2791974399979154
2021-05-08 03:00:00,1306.54613696,1306.54613696,4.286604160000024,4.286604160000024
2021-05-08 03:15:00,1288.05769748,1288.05769748,3.8486349599997993,3.8486349599997993
2021-05-08 03:30:00,1265.37,1265.37,23.916880000000674,23.916880000000674
2021-05-08 03:45:00,1251.6101563199995,1251.6101563199995,7.515710720002062,7.515710720002062
2021-05-08 04:00:00,1238.75221264,1238.75221264,9.2731372799999,9.2731372799999
2021-05-08 04:15:00,1222.06591736,1222.06591736,2.1302587199998015,2.1302587199998015
2021-05-08 04:30:00,1205.2700836800002,1205.2700836800002,30.91808127999957,30.91808127999957
2021-05-08 04:45:00,1198.17495888,1198.17495888,46.61274047999996,46.61274047999996
2021-05-08 05:00:00,1197.13,1197.13,51.0531519999995,51.0531519999995
2021-05-08 05:15:00,1197.145834,1197.145834,58.982184000000416,58.982184000000416
2021-05-08 05:30:00,1201.23,1201.23,26.81494399999974,26.81494399999974
2021-05-08 05:45:00,1196.94129868,1196.94129868,1.8731333599998834,1.8731333599998834
2021-05-08 06:00:00,1183.1531294400002,1183.1531294400002,14.435946880000301,14.435946880000301
